다가, 66, 159
라다, 73, 190
하타, 43, 143
아마, 58, 190
마바, 45, 186
카바, 90, 175
차가, 96, 158
아타, 47, 177
라하, 55, 145
아아, 56, 145
나하, 79, 152
라자, 90, 189
카바, 97, 142
바사, 66, 166
자가, 69, 191
사차, 88, 177
타차, 62, 191
하사, 60, 183
하파, 56, 190
하자, 58, 194
하차, 49, 147
사파, 92, 189
바자, 87, 144
가카, 60, 181
카라, 88, 194
아자, 49, 168
사자, 61, 170
마가, 69, 142
하하, 89, 148
차다, 78, 164
아하, 70, 177
바카, 64, 165
바하, 69, 176
파타, 51, 141
차나, 67, 181
사아, 45, 165
카타, 65, 150
마아, 60, 163
나카, 91, 168
자아, 49, 191
파사, 69, 169
라파, 56, 151
바카, 47, 176
가바, 70, 176
사사, 87, 181
카마, 57, 190
타차, 46, 175
아마, 96, 160
다가, 98, 194
다하, 47, 196
바자, 93, 175
나바, 55, 183
가나, 41, 142
파바, 51, 160
가바, 68, 190
자타, 54, 162
차카, 60, 190
아나, 48, 197
자자, 54, 173
사카, 47, 176
나하, 98, 168
아바, 46, 152
카아, 60, 161
파차, 47, 146
바바, 87, 147
나카, 69, 161
차나, 52, 177
아나, 88, 187
나마, 65, 168
아카, 93, 191
가타, 43, 198
차마, 55, 152
하하, 51, 168
바라, 86, 197
라파, 93, 155
나사, 49, 143
하하, 81, 170
타사, 42, 188
바타, 71, 157
자라, 74, 171
자파, 53, 169
다라, 76, 159
카다, 55, 192
자아, 99, 188
아마, 55, 181
나카, 79, 191
라타, 56, 141
파사, 93, 140
파아, 71, 182
라차, 47, 146
아카, 57, 183
타파, 46, 172
사라, 52, 177
라타, 65, 154
라나, 40, 192
다마, 87, 171
하나, 46, 154
다카, 93, 188
마다, 72, 197
파타, 59, 180
나자, 70, 188
카마, 40, 154
바자, 49, 143
자라, 42, 189
자나, 90, 189
하가, 54, 193
마하, 61, 197
라하, 97, 161
라나, 88, 173
라하, 79, 161
자아, 81, 164
자바, 63, 152
카파, 67, 199
카하, 51, 146
다자, 91, 151
라카, 70, 148
자카, 55, 178
하다, 55, 171
가가, 45, 169
카아, 57, 187
하마, 43, 184
가하, 40, 172
라가, 68, 163
가다, 91, 153
라파, 67, 153
사다, 55, 184
바하, 48, 150
아다, 81, 149
차차, 81, 154
아바, 71, 153
카카, 60, 173
자하, 55, 167
마나, 84, 178
아나, 96, 152
카아, 87, 159
나하, 47, 171
다아, 43, 169
자마, 51, 179
파아, 44, 149
다차, 52, 165
마마, 44, 180
다사, 82, 157
타라, 67, 193
사하, 71, 158
사타, 71, 157
라차, 44, 143
나하, 51, 144
